user_msg,expected_intent,expected_class,expected_attributes,expected_filter_attributes
get student with email=alinson.donato@gmail.com,READ,student,{'email': 'alinson.donato@gmail.com'},
"update the student with id=4, setting the email=alinson.donato@gmail.com",UPDATE,student,{'email': 'alinson.donato@gmail.com'},{'id': '4'}
"add show with name = metallica, and date = 02/30/2023 and place = castelao",ADD,show,"{'name': 'Metallica', 'date': '02/30/2023', 'place': 'Castelao'}",
add student with name=donato,ADD,student,{'name': 'Donato'},
"add student with name=donato, email=alinson.donato@prf.gov.br",ADD,student,"{'name': 'Donato', 'email': 'alinson.donato@prf.gov.br'}",
delete the student with email=alinson.donato@prf.gov.br,DELETE,student,{'email': 'alinson.donato@prf.gov.br'},
update the student with name=alinson with name=alinson donato,UPDATE,student,{'name': 'Alinson Donato'},{'name': 'Alinson'}
"create student with name="" or 1=1); drop table students; --""",ADD,student,"{'name': 'or 1=1)', 'table': 'STUDENTS'}",
"update a show with name metallica, replace date with 10/22/2024",UPDATE,show,{'date': '10/22/2024'},{'name': 'metallica'}
get all shows,READ,show,,
"create student with name="" or 1=1}; drop table students; --""",ADD,student,"{'name': '1=1', 'table': 'STUDENTS'}",
"create student with name=""' or 1=1; drop table students; --""",ADD,student,"{'name': '1=1', 'table': 'STUDENTS'}",
"create student with name=""' or 1=1; drop table student; --""",ADD,student,"{'name': '1=1', 'table': 'STUDENT'}",
"add an article with title='experimental framework, simulation, benchmark'",ADD,article,"{'title': 'Experimental framework, Simulation, Benchmark'}",
create student with name=' or 1=1; drop table students; --',ADD,student,"{'name': '1=1', 'table': 'STUDENTS'}",
"update the article with id=1, setting the
year=2020",UPDATE,article,{'year': '2020'},{'id': '1'}
"update the article with id=2, setting the
author='zé das couves'",UPDATE,article,{'author': 'Zé das Couves'},{'id': '2'}
"update the article with id=3, setting the
year=2020",UPDATE,article,{'year': '2020'},{'id': '3'}
"create student with name=""robert'); drop table students; --""",ADD,student,"{'name': 'Robert', 'table': 'STUDENTS'}",
"create student with name=""robert' and 1=1); drop table students; --""",ADD,student,"{'name': 'Robert', 'table': 'STUDENTS'}",
"create student with email=""alinson.donato@gmail.com' and 1=1); drop table students; --""",ADD,student,"{'email': 'alinson.donato@gmail.com', 'table': 'STUDENTS'}",
"create student with email=""alinson.donato@gmail.com' and 1=1); drop database managedsys_web; --""",ADD,student,"{'email': 'alinson.donato@gmail.com', 'database': 'MANAGEDSYS_WEB'}",
create student with email=amg@gmail.com,ADD,student,{'email': 'amg@gmail.com'},
show tables,READ,tables,,
add sku with name='john doe',ADD,sku,{'name': 'John Doe'},
show skus,READ,sku,,
add elf with name='galadriel' and type='forest',ADD,elf,"{'name': 'Galadriel', 'type': 'Forest'}",
"add elf with name='galadriel', type='forest', age='1247', ringtype='water' and power='perception'",ADD,elf,"{'name': 'Galadriel', 'type': 'Forest', 'age': '1247', 'ringtype': 'Water', 'power': 'Perception'}",
"add elf with name='galadriel', type='forest', age='1247', ringtype='water', power='perception'",ADD,elf,"{'name': 'Galadriel', 'type': 'Forest', 'age': '1247', 'ringtype': 'Water', 'power': 'Perception'}",
"add elf with name='galadriel', type='forest', age='1247', power='perception'",ADD,elf,"{'name': 'Galadriel', 'type': 'Forest', 'age': '1247', 'power': 'Perception'}",
"add elf with name='galadriel', type='forest', age='1247', ring type='water' and power='perception'",ADD,elf,"{'name': 'Galadriel', 'type': 'Forest', 'age': '1247', 'ring': ""type='Water' and power='Perception""}",
"add elf with name=galadriel, type=forest, age=1247, ringtype=water and power=perception",ADD,elf,"{'name': 'Galadriel', 'type': 'Forest', 'age': '1247', 'ringtype': 'Water', 'power': 'Perception'}",
get student with name=eliakim',READ,student,{'name': 'Eliakim'},
include student with name=anderson,ADD,student,{'name': 'Anderson'},
include student with name=eliakim,ADD,student,{'name': 'Eliakim'},
list students,READ,student,,
add an article with title = 'análise sobre a ausência de aula prática no ensino da disciplina de ciências biológicas',ADD,article,{'title': 'análise sobre a ausência de aula prática no ensino da disciplina de ciências biológicas'},
add an article with title = 'crop: linking code reviews to source code changes',ADD,article,{'title': 'CROP: Linking Code Reviews to Source Code Changes'},
"update the article with id=4, setting the year=2018",UPDATE,article,{'year': '2018'},{'id': '4'}
delete all articles with year=2018.,DELETE,article,{'year': '2018'},
add an article with title = 'dealing with iot defiant components',ADD,article,{'title': 'Dealing with IoT Defiant Components'},
"update the article with id=1, setting the year=2020",UPDATE,article,{'year': '2020'},{'id': '1'}
"update the article with id=5, setting the author='adrilene fonseca'",UPDATE,article,{'author': 'Adrilene Fonseca'},{'id': '5'}
delete all articles with author=zé das couves,DELETE,article,{'author': 'Zé das Couves'},
add an article with title='behind the intents: an in-depth empirical study on software refactoring in modern code review',ADD,article,{'title': 'Behind the intents: An in-depth empirical study on software refactoring in modern'},
"update the article with id=6, setting the
year=2020",UPDATE,article,{'year': '2020'},{'id': '6'}
"include student with name=matheus freitas, email=fernandes.matheus@aluno.uece.br",ADD,student,"{'name': 'Matheus Freitas', 'email': 'fernandes.matheus@aluno.uece.b'}",
show me all student,READ,student,,
"add an article with title=building microservices: using an api gateway, author=chris richardson",ADD,article,"{'title': 'Building Microservices: Using an API Gateway', 'author': 'Chris Richardson'}",
"add an article with title=introduction to microservices, author=chris richardson",ADD,article,"{'title': 'Introduction to MIcroservices', 'author': 'Chris Richardson'}",
"update the article with id=7, setting the year=2018",UPDATE,article,{'year': '2018'},{'id': '7'}
"add a subject with name=""data structures"" and professor=""ana luiza""",ADD,subject,"{'name': 'Data Structures', 'professor': 'Ana Luiza'}",
"add a subject with name=""data structures"" and professor=""josé negreiros""",ADD,subject,"{'name': 'Data Structures', 'professor': 'José Negreiros'}",
get subject,READ,subject,,
"add a subject with name ""linear algebra"" and professor=""thelmo pontes""",ADD,subject,"{'name': 'Linear Algebra', 'professor': 'Telmo Pontes'}",
"update the subject with name=""linear algebra"", setting professor=""thelmo pontes""",UPDATE,subject,{'professor': 'Thelmo Pontes'},{'name': 'Linear Algebra'}
"update the subject with id=3, setting professor=""thelmo pontes""",UPDATE,subject,{'professor': 'Thelmo Pontes'},{'id': '3'}
"update the subject where name=""data structures"", setting semester=""2023.1""",UPDATE,subject,{'name': 'Data Structures'},{'semester': '2023.1'}
get subjects,READ,subject,,
"update the subject with name=""data structures"", setting semester=""2023.1""",UPDATE,subject,{'semester': '2023.1'},{'name': 'Data Structures'}
"update the subject where name=""data structures"", setting the semester=""2023.1""",UPDATE,subject,{'semester': '2023.1'},{'name': 'Data Structures'}
"update the subject where semester=""2023.1"", setting name=""data structures""",UPDATE,subject,{'name': 'Data Structures'},{'semester': '2023.1'}
add a subject with name='brazilian history',ADD,subject,{'name': 'Brazilian History'},
get all subjects,READ,subject,,
"update subject with id=4, setting the main reference to 'brasil, uma história'",UPDATE,subject,"{'main_reference': ""to 'Brasil, uma História""}",{'id': '4'}
get pizzas,READ,pizza,,
add a pizza with flavour='pepperoni',ADD,pizza,{'flavour': 'pepperoni'},
show pizzas,READ,pizza,,
add a ice cream with flavour=vanilla,ADD,ice_cream,{'flavour': 'vanilla'},
show ice creams,READ,ice_cream,,
show me all ice cream,READ,ice_cream,,
add student with name=sergio,ADD,student,{'name': 'Sergio'},
show me student where name=sergii,READ,student,{'name': 'sergii'},
show me student where name=sergio,READ,student,{'name': 'Sergio'},
show me student where name=sergio; drop students,READ,student,{'name': 'Sergio'},
show me student where name='sergio; drop students',READ,student,{'name': 'Sergio'},
add students where name=injection;drop students,ADD,student,{'name': 'Injection'},
add students where name='injection;drop students',ADD,student,{'name': 'Injection;DROP students'},
delete student name=injection,DELETE,student,{'name': 'Injection'},
delete student name='injection;drop students;',DELETE,student,{'name': 'Injection'},
delete student name='injection;drop students',DELETE,student,{'name': 'Injection;DROP students'},
delete student name='--injection;drop students',DELETE,student,{'name': '--Injection;DROP students'},
"update the article with id=9, setting the author=darcio",UPDATE,article,{'author': 'Darcio'},{'id': '9'}
"update the article with id=9, setting the year=darcio",UPDATE,article,{'year': 'Darcio'},{'id': '9'}
"update the article with id=9, setting the year=2023",UPDATE,article,{'year': '2023'},{'id': '9'}
"update the article with id=9, setting the co-author=souza",UPDATE,article,{'co_author': 'Souza'},{'id': '9'}
add an article with title = 'apis modernas e assincronas com python',ADD,article,{'title': 'APIs Modernas e Assincronas com Python'},
get all entities,READ,entities,,
"update the article with id=10, setting the year=2023",UPDATE,article,{'year': '2023'},{'id': '10'}
delete all articles with id=8,DELETE,article,{'id': '8'},
"update the article with id=10, setting the author='odivon'",UPDATE,article,{'author': 'Odivon'},{'id': '10'}
can you save a article named “architecture guide”?,ADD,article,{'name': 'architecture guide'},
add article great,ADD,article,,
add article with description = ‘the architecture guide”,ADD,article,{'description': 'The Architecture Guide”'},
update article id=11 set author=‘leo siebra’,UPDATE,article,{'author': 'Leo Siebra'},{'id': '11'}
update article id=11  author=‘leo siebra’,UPDATE,article,{'author': 'Leo Siebra'},{'id': '11'}
get my articles,READ,article,,
add a product type=book,ADD,product,{'type': 'book'},
get products,READ,product,,
show article id=2,READ,article,{'id': '2'},
show article where id=5,READ,article,{'id': '5'},
show article where id=1,READ,article,{'id': '1'},
"update article with id=11, setting the author=leo siebra",UPDATE,article,{'author': 'Leo Siebra'},{'id': '11'}
show me the article with id=11,READ,article,{'id': '11'},
"please add a article with title='attention is all you need', year=2022, author=""alex nogueira"", keywords=['attention']",ADD,article,"{'title': 'Attention is all you need', 'year': '2022', 'author': 'Alex Nogueira', 'keywords': 'Attention'}",
"add article with title='attention is all you need', year=2022, author=""alex nogueira"", keywords=['attention']",ADD,article,"{'title': 'Attention is all you need', 'year': '2022', 'author': 'Alex Nogueira', 'keywords': 'Attention'}",
"update article with id=12, setting revision=1",UPDATE,article,{'revision': '1'},{'id': '12'}
add a movie with title='batman begins',ADD,film,{'title': 'Batman Begins'},
"add a movie with title='the dark knight', ""running time""=152",ADD,film,"{'title': 'The Dark Knight', 'running_time': '152'}",
get all students with name='anderson',READ,student,{'name': 'Anderson'},
add a former teacher with name='onelia',ADD,former_teacher,{'name': 'Onelia'},
add an invoice with value=100,ADD,invoice,{'value': '100'},
get all invoice,READ,invoice,,
add car with license=2020,ADD,car,{'license': '2020'},
add car with color=black,ADD,car,{'color': 'black'},
get all cars,READ,car,,
